Assignment Name,Topic,Workload,Market Knowledge,Regulatory knowledge,Audit knowldege,Organization knowledge,System knowledge,Processes knowledge,Previous Audits,Certifications,Role,Date Required
Gembucket,Sales,195,1,2,3,4,2,4,true,FRM,Head of Mission,November
Zamit,Legal,161,1,4,3,3,1,2,false,CFA,Supervisor,February
Solarbreeze,Accounting,343,1,3,1,3,1,2,true,FRM,Auditor,March
Stronghold,Sales,304,1,1,2,3,2,3,true,CQF,Head of Mission,April
Temp,Services,278,4,2,3,2,1,4,false,Other,Auditor,June
Tresom,Human Resources,104,1,1,3,3,4,1,false,Other,Auditor,September
Zontrax,Research and Development,437,4,1,4,1,4,1,true,CQF,Head of Mission,May
Fintone,Services,152,3,1,4,1,2,1,false,FRM,Supervisor,March
Daltfresh,Research and Development,361,2,3,3,4,1,1,false,FRM,Supervisor,January
Zontrax,Product Management,270,4,3,4,3,1,3,false,Other,Head of Mission,February
Job,Services,380,2,1,3,2,1,2,false,FRM,Head of Mission,August
Subin,Business Development,113,4,1,1,4,3,4,false,FRM,Auditor,January
Konklab,Research and Development,484,1,1,4,3,4,2,false,FRM,Auditor,February
Treeflex,Sales,399,4,4,2,1,2,2,true,CQF,Auditor,April
Transcof,Research and Development,315,3,2,3,4,4,1,false,FRM,Head of Mission,July
Biodex,Legal,231,3,4,3,3,4,3,true,FRM,Auditor,March
Cardify,Support,137,3,1,2,4,3,3,true,CFA,Head of Mission,November
Sub-Ex,Human Resources,162,1,2,1,2,4,3,true,CQF,Head of Mission,February
Namfix,Human Resources,172,4,3,1,3,1,1,false,CQF,Supervisor,December
Y-Solowarm,Marketing,259,2,2,2,3,4,4,true,ACA,Auditor,April
Cookley,Marketing,489,4,2,1,1,2,2,false,CFA,Supervisor,May
Domainer,Training,305,3,1,4,4,1,1,false,CQF,Head of Mission,July
Veribet,Legal,445,4,2,4,2,3,4,false,ACA,Auditor,May
Zathin,Human Resources,458,4,4,1,2,3,1,false,CQF,Supervisor,July
It,Legal,199,3,3,3,3,3,4,false,Other,Auditor,May
Daltfresh,Support,305,1,2,1,2,3,4,false,ACA,Supervisor,December
Konklab,Product Management,428,4,1,1,2,4,2,true,FRM,Head of Mission,May
Fixflex,Marketing,302,2,3,3,3,4,2,true,FRM,Head of Mission,May
Voltsillam,Training,212,4,4,2,3,2,3,false,ACA,Head of Mission,April
Temp,Training,239,2,3,2,3,3,1,true,CFA,Auditor,May
Y-Solowarm,Legal,420,4,4,1,4,2,1,true,CFA,Head of Mission,February
Vagram,Legal,372,2,2,2,3,1,2,true,CFA,Supervisor,September
Lotstring,Accounting,253,4,4,2,1,3,2,true,FRM,Auditor,May
Alphazap,Marketing,467,3,1,1,3,4,1,false,FRM,Supervisor,March
Otcom,Services,450,4,4,3,4,3,1,true,CQF,Head of Mission,September
Namfix,Support,155,1,2,4,4,2,1,true,ACA,Head of Mission,September
Konklux,Services,237,3,3,2,2,1,2,true,CFA,Supervisor,March
Bitwolf,Business Development,486,4,4,4,2,2,3,true,CQF,Supervisor,September
Ventosanzap,Business Development,394,1,3,1,2,1,4,true,Other,Supervisor,March
Y-find,Accounting,206,4,2,2,1,3,2,true,CFA,Supervisor,July
Span,Product Management,378,1,4,3,2,4,2,false,ACA,Supervisor,May
Prodder,Support,146,3,2,4,3,1,1,true,FRM,Supervisor,April
Namfix,Legal,126,4,2,4,1,3,1,false,CQF,Supervisor,February
Span,Research and Development,441,4,1,2,4,3,2,false,FRM,Supervisor,October
It,Marketing,401,3,1,3,2,3,3,true,ACA,Auditor,May
Konklab,Product Management,301,2,1,2,4,2,1,true,CFA,Head of Mission,November
Voltsillam,Accounting,228,1,2,2,2,3,2,false,CQF,Auditor,August
Quo Lux,Research and Development,401,3,2,2,1,2,4,false,FRM,Auditor,April
Tres-Zap,Research and Development,428,2,4,3,3,2,2,true,FRM,Supervisor,July
Span,Product Management,436,3,3,3,2,1,2,false,CQF,Auditor,August
